Topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
tesla,25%,80%,13%,17%,11%
ev,35%,N/A,10%,8%,14%
electric,33%,0%,17%,14%,12%
battery,14%,6%,12%,10%,14%
looks,25%,N/A,N/A,0%,0%
time,5%,25%,7%,9%,7%
charging,0%,N/A,0%,33%,100%
range,26%,0%,7%,12%,6%
price,33%,0%,14%,13%,18%
use,12%,0%,4%,10%,6%
