,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric
,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
14,99.0,99.0,99.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,23,23,23,0,0,23,0,0,0,0,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,42.0,0.0
15,523.0,0.0,523.0,523.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,270,270,0,0,0,0,0,0,0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,133.0,0.0,0.0
16,192.0,0.0,192.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,94,94,94,94,94,0,0,94,0,94,98.0,98.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
17,56.0,0.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,63.0,63.0,0.0,63.0,0.0,0.0,0.0,199,199,0,199,0,0,199,0,0,0,0.0,87.0,87.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0
18,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,63.0,63.0,0.0,63.0,0.0,0.0,0.0,242,242,0,242,242,0,0,0,0,0,107.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,107.0,107.0
19,248.0,0.0,248.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,27,27,0,0,0,0,0,0,0,0,87.0,87.0,87.0,87.0,87.0,0.0,87.0,0.0,87.0,87.0
20,260.0,0.0,260.0,260.0,260.0,260.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,164.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,173,173,173,0,0,0,0,0,0,173,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,29.0,0.0
21,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-13.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,57.0,0.0,57.0,0.0,0.0,0.0,0.0,0,140,0,0,0,0,140,0,0,0,134.0,134.0,134.0,134.0,0.0,0.0,134.0,134.0,134.0,0.0
22,104.0,0.0,104.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,109.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,97,97,0,97,0,0,0,0,0,97,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0
23,154.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,9.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,616,0,0,0,616,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
