,Fully Charged Show battery,Fully Charged Show tesla,Fully Charged Show range,Fully Charged Show charging,Fully Charged Show charger,Fully Charged Show suv,Fully Charged Show network,Fully Charged Show rivian,Fully Charged Show electrify america,Fully Charged Show capacity,Bjorn Nyland battery,Bjorn Nyland tesla,Bjorn Nyland range,Bjorn Nyland charging,Bjorn Nyland charger,Bjorn Nyland suv,Bjorn Nyland network,Bjorn Nyland rivian,Bjorn Nyland electrify america,Bjorn Nyland capacity,Electric Vehicle Man battery,Electric Vehicle Man tesla,Electric Vehicle Man range,Electric Vehicle Man charging,Electric Vehicle Man charger,Electric Vehicle Man suv,Electric Vehicle Man network,Electric Vehicle Man rivian,Electric Vehicle Man electrify america,Electric Vehicle Man capacity,Now You Know battery,Now You Know tesla,Now You Know range,Now You Know charging,Now You Know charger,Now You Know suv,Now You Know network,Now You Know rivian,Now You Know electrify america,Now You Know capacity,E for Electric battery,E for Electric tesla,E for Electric range,E for Electric charging,E for Electric charger,E for Electric suv,E for Electric network,E for Electric rivian,E for Electric electrify america,E for Electric capacity
22,-25,0,-25,0,0,0,0,0,0,0,-50,-50,0,-50,0,0,0,0,0,0,-97,-97,0,-97,0,-97,0,0,0,0,0,-345,0,0,0,0,-345,0,0,0,-228,-228,-228,-228,0,0,-228,-228,-228,0
23,-254,0,-254,0,0,-254,0,0,0,0,0,-12,0,-12,0,0,0,0,0,0,-155,0,-155,-155,-155,0,0,0,0,0,-121,-121,0,-121,0,0,0,0,0,-121,-4,-4,-4,-4,-4,-4,-4,0,-4,0
24,-212,0,-212,0,0,0,0,0,0,0,-17,-17,-17,-17,-17,0,0,0,0,-17,-58,-58,-58,0,0,0,0,0,0,0,0,-1080,0,0,0,-1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-175,0,-175,0,0,0,0,0,0,0,-9,-9,-9,0,0,0,0,0,0,0,0,-151,0,-151,-151,-151,-151,0,0,0,0,-203,0,-203,0,0,0,-203,0,0,-27,-27,-27,-27,-27,0,0,0,0,0
26,-205,0,-205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-114,-114,0,0,0,0,0,0,0,0,0,0,0,-78,-78,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-340,0,-340,0,-340,0,0,0,0,-340,,,,,,,,,,,0,0,0,-55,-55,0,-55,0,0,0,0,-632,0,0,0,0,0,0,0,0,-13,-13,-13,-13,-13,0,-13,0,-13,-13
28,-342,0,-342,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,-98,-98,0,0,0,0,-98,0,-96,0,0,0,0,0,0,0,0,,,,,,,,,,
29,-97,0,0,0,0,0,0,0,0,0,,,,,,,,,,,-298,-298,-298,-298,-298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
30,-210,0,-210,-210,0,0,0,0,0,-210,,,,,,,,,,,-68,-68,-68,-68,-68,0,-68,0,0,0,0,-108,0,0,0,0,0,0,0,0,,,,,,,,,,
31,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,-7,-7,-7,-7,-7,0,-7,0,0,0,-69,-69,-69,-69,-69,0,-69,-69,-69,0,,,,,,,,,,
32,-293,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-134,0,0,0,0,0,0,0,-134,,,,,,,,,,
33,-135,0,-135,-135,-135,0,0,0,0,-135,,,,,,,,,,,-10,-10,-10,-10,-10,0,0,0,0,-10,0,-32,0,-32,0,0,-32,0,0,0,,,,,,,,,,
34,-623,-623,-623,-623,-623,0,0,0,0,0,,,,,,,,,,,0,-11,-11,-11,-11,0,0,0,0,0,0,-156,0,0,0,0,0,0,0,0,,,,,,,,,,
35,-231,0,-231,-231,0,-231,0,0,0,0,,,,,,,,,,,-5,0,0,0,0,0,0,0,0,0,0,-124,0,0,0,0,-124,0,0,0,,,,,,,,,,
36,-129,0,-129,-129,0,0,0,0,0,0,,,,,,,,,,,0,-7,-7,-7,0,-7,-7,0,0,0,0,-202,0,0,0,0,0,0,0,0,,,,,,,,,,
