Topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
tesla,42%,20%,63%,54%,52%
ev,35%,N/A,70%,62%,86%
electric,29%,100%,48%,51%,62%
battery,55%,39%,57%,56%,38%
looks,21%,N/A,N/A,43%,50%
time,57%,50%,54%,57%,62%
charging,50%,N/A,50%,67%,100%
range,52%,0%,53%,59%,71%
price,47%,100%,71%,40%,82%
use,53%,0%,76%,51%,50%
