channel,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
Electric Vehicle Man,0,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,-10,-10,-10,-10,-10,0,0,0,0,-10
Electric Vehicle Man,0,-11,-11,-11,-11,0,0,0,0,0
Electric Vehicle Man,-5,0,0,0,0,0,0,0,0,0
Electric Vehicle Man,0,-7,-7,-7,0,-7,-7,0,0,0
Electric Vehicle Man,-8,-8,-8,-8,-8,-8,-8,0,0,-8
Now You Know,0,0,-206,0,0,0,0,-206,0,0
Now You Know,-871,-871,-871,-871,-871,-871,-871,-871,-871,-871
Now You Know,-115,-115,-115,-115,-115,0,-115,-115,-115,0
Now You Know,-57,-57,-57,-57,-57,0,0,-57,0,0
Now You Know,-90,-90,0,-90,0,0,-90,-90,0,0
Now You Know,0,-38,0,0,-38,0,-38,0,0,0
Now You Know,0,0,0,0,0,0,0,0,0,0
Now You Know,-92,0,-92,-92,-92,0,0,-92,-92,0
Now You Know,0,0,0,0,0,0,0,0,0,0
Now You Know,-95,0,-95,0,-95,0,0,0,0,0
Now You Know,-65,-65,-65,0,0,0,0,0,0,-65
Now You Know,-92,-92,-92,-92,-92,-92,0,0,0,0
Now You Know,-26,-26,0,0,0,0,0,0,0,0
Now You Know,0,-66,0,0,0,0,0,0,0,0
Now You Know,-39,-39,-39,0,0,-39,0,0,0,0
Now You Know,-740,-740,-740,0,0,0,0,0,0,0
Now You Know,-223,-223,-223,-223,-223,0,0,-223,0,-223
Now You Know,-284,-284,0,-284,0,0,-284,0,0,0
Now You Know,-332,-332,0,-332,-332,0,0,0,0,0
Now You Know,-26,-26,0,0,0,0,0,0,0,0
Now You Know,-194,-194,-194,0,0,0,0,0,0,-194
Now You Know,0,-345,0,0,0,0,-345,0,0,0
Now You Know,-121,-121,0,-121,0,0,0,0,0,-121
Now You Know,0,-1080,0,0,0,-1080,0,0,0,0
Now You Know,0,-203,0,-203,0,0,0,-203,0,0
Now You Know,0,0,0,-78,-78,0,-78,0,0,0
Now You Know,0,-632,0,0,0,0,0,0,0,0
Now You Know,0,-96,0,0,0,0,0,0,0,0
Now You Know,0,0,0,0,0,0,0,0,0,0
Now You Know,0,-108,0,0,0,0,0,0,0,0
Now You Know,-69,-69,-69,-69,-69,0,-69,-69,-69,0
Now You Know,0,-134,0,0,0,0,0,0,0,-134
Now You Know,0,-32,0,-32,0,0,-32,0,0,0
Now You Know,0,-156,0,0,0,0,0,0,0,0
Now You Know,0,-124,0,0,0,0,-124,0,0,0
Now You Know,0,-202,0,0,0,0,0,0,0,0
Now You Know,0,-82,0,0,0,0,0,-82,0,0
Now You Know,0,-74,0,0,0,0,0,0,0,0
Now You Know,0,-84,0,0,0,0,0,0,0,0
Now You Know,0,-56,0,0,0,0,0,0,0,-56
Now You Know,-177,-177,-177,-177,0,0,-177,0,0,0
Now You Know,0,-123,0,-123,0,0,-123,0,-123,0
Now You Know,0,-254,0,0,0,-254,-254,0,0,0
Now You Know,0,-31,0,0,0,0,0,0,0,0
Now You Know,0,-57,0,0,0,0,0,0,0,0
Now You Know,-271,-271,0,0,0,0,0,0,0,0
Now You Know,0,-219,0,0,0,0,0,0,0,0
Now You Know,0,-61,0,0,0,0,0,0,0,0
Now You Know,0,-165,0,0,0,0,-165,0,0,0
Now You Know,-23,-23,-23,-23,-23,0,-23,0,0,0
Now You Know,-57,-57,0,0,0,0,0,0,0,0
Now You Know,0,-43,0,0,0,0,-43,0,0,0
Now You Know,0,-28,0,0,0,0,0,0,0,0
Now You Know,0,-63,0,-63,0,0,0,0,0,0
Now You Know,0,-42,0,0,0,0,0,0,0,0
Now You Know,0,-61,0,0,0,0,0,0,0,0
E for Electric,-23,-23,-23,-23,0,0,-23,0,0,0
E for Electric,0,-23,-23,-23,0,0,0,0,-23,0
E for Electric,0,-59,-59,-59,-59,0,0,0,-59,0
E for Electric,-92,-92,-92,-92,0,0,0,-92,0,0
E for Electric,-18,-18,-18,-18,0,0,-18,0,0,0
E for Electric,-47,-47,-47,-47,0,0,-47,-47,-47,-47
E for Electric,-38,-38,-38,-38,0,0,-38,0,0,0
E for Electric,0,-122,-122,0,0,0,0,-122,0,0
E for Electric,-13,-13,-13,-13,0,0,-13,0,0,0
E for Electric,-21,-21,-21,-21,0,0,-21,0,0,-21
E for Electric,-14,0,-14,-14,-14,0,0,0,0,-14
E for Electric,0,-66,-66,0,0,0,0,0,0,0
E for Electric,-110,-110,-110,-110,0,-110,-110,-110,-110,0
E for Electric,-592,-592,0,-592,-592,-592,-592,-592,-592,0
E for Electric,-147,-147,-147,-147,-147,0,0,0,-147,0
E for Electric,0,-336,0,-336,0,0,0,-336,0,0
E for Electric,-297,-297,-297,-297,0,0,0,0,0,0
E for Electric,0,-198,-198,-198,-198,0,0,0,0,0
E for Electric,-516,-516,-516,-516,-516,0,0,0,-516,-516
E for Electric,-98,-98,-98,-98,-98,0,-98,0,-98,-98
E for Electric,-28,-28,-28,-28,-28,0,0,0,-28,0
E for Electric,-228,-228,-228,-228,0,0,-228,-228,-228,0
E for Electric,-4,-4,-4,-4,-4,-4,-4,0,-4,0
E for Electric,0,0,0,0,0,0,0,0,0,0
E for Electric,-27,-27,-27,-27,-27,0,0,0,0,0
E for Electric,0,0,0,0,0,0,0,0,0,0
E for Electric,-13,-13,-13,-13,-13,0,-13,0,-13,-13
