Topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
tesla,7%,0%,9%,6%,6%
ev,0%,N/A,0%,0%,29%
electric,5%,0%,17%,3%,0%
battery,2%,0%,12%,2%,3%
looks,0%,N/A,N/A,0%,50%
time,6%,0%,12%,16%,2%
charging,0%,N/A,50%,0%,0%
range,2%,0%,5%,24%,12%
price,2%,0%,0%,20%,9%
use,3%,0%,4%,2%,6%
