channel,Bjorn Nyland,E for Electric,Electric Vehicle Man,Fully Charged Show,Now You Know
Positive,524,1678,1411,6942,5365
Neutral,509,2799,2538,7387,6974
Negative,321,2232,1739,5411,5900
